ID;Наименование;Ссылка на товар;Регулярная цена;Бренд
216585;Ручки шариковые BIC Round Stic Classic синие;https://online.metro-cc.ru/products/60sht-sharikovaya-ruchka-round-stic-classic-siniy-bic;1299;BIC
433425;Маркеры перманентные Kores 3мм 4 цвета;https://online.metro-cc.ru/products/permanentnyj-kores-3mm-4cv4sht;299;KORES
513191;SIGMA Ленты корректирующую 5мм х 6м;https://online.metro-cc.ru/products/korrektiruyuschaya-lenta-sigma-5-mm-h-6m-2-sht;149;SIGMA
537347;Ручка капиллярная Erich Krause F-15 синяя;https://online.metro-cc.ru/products/kapillyarnaya-erich-krause-f-15-sinyaya;109;ERICH KRAUSE
115582;Ручки шариковые Berlingo синие 0.4мм;https://online.metro-cc.ru/products/ruchka-sharik-sin-04mm-3sht-berlingo;169;BERLINGO
130841;Ручки шариковые Berlingo XGold синие;https://online.metro-cc.ru/products/shar-xgold-sin5sht;339;BERLINGO
490185;Ручки шариковые BIC Round Stic Exact синие 0.7мм;https://online.metro-cc.ru/products/ruchki-sharikovye-bic-round-stic-exact-sinie-8sht;199;BIC
332509;Ручки шариковые Erich Krause R-301;https://online.metro-cc.ru/products/sharikovye-erich-krause-r-301-4-sht;79;ERICH KRAUSE
221666;Ручка Berlingo Apex E гелевая стираемая синяя;https://online.metro-cc.ru/products/ruchka-gelevaya-stiraemaya-apex-e-sinyaya-4sht-berlingo;299;BERLINGO
338723;Ручки шариковые Beifa AA927 синие 0.4мм;https://online.metro-cc.ru/products/sharikovaya-aa927-beifa-04mm-50sht;499;BEIFA
537348;Ручки капиллярные Erich Krause F-15;https://online.metro-cc.ru/products/nabor-kapillyarnyh-f-15-erich-krause-3-sht;229;ERICH KRAUSE
202125;Маркер перманентный BIC Marking Fine черный;https://online.metro-cc.ru/products/marker-marking-fine-bic-permanentniy-cherniy;129;BIC
110076;Текстовыделитель Berlingo HP200 скошенный 1-5мм пастель;https://online.metro-cc.ru/products/berlingo-hp200-nabor-4-sht-skoshennye-1-5-mm-pastel;299;BERLINGO
602511;Ручки шариковые BIC Round Stic Classic синие;https://online.metro-cc.ru/products/ruchki-sharikovye-bic-round-stic-sinie-8sht;149;BIC
499519;Точилка Maped Shaker 2 отделения;https://online.metro-cc.ru/products/maped-shaker-2-otdeleniya;149;MAPED
221391;Ручки Bruno Visconti Пиши-стирай синие 0.5мм;https://online.metro-cc.ru/products/ruchki-pishi-stiray-05mm-sinie-5sht-bv;449;BRUNO VISCONTI
211186;Ручка Penac FX-7 гелевая синяя автоматическая блистер;https://online.metro-cc.ru/products/ruchka-gel-avt-fx-7-07-mm-sin-blister-penac;249;PENAC
630498;Ручки шариковые Erich Krause R-101 4 цвета;https://online.metro-cc.ru/products/sharikovye-erich-krause-r-101-sinij-chernyj-krasnyj-zelenyj-4-sht;109;ERICH KRAUSE
513207;aro Ручка шариковая;https://online.metro-cc.ru/products/sharikovaya-aro-50sht;349;ARO
630958;Маркеры текстовые Stabilo Boss pastel;https://online.metro-cc.ru/products/tekstovyj-stabilo-boss-pastel-4-cveta;649;STABILO
441319;Ручки шариковые Kores К1 4 цвета 0.7мм;https://online.metro-cc.ru/products/nabor-sharikovyh-k1-kores-4cv07mm-4sht;159;KORES
637583;Маркеры-краски Munhwa белые;https://online.metro-cc.ru/products/kraska-munhwa-belyj-2-sht;339;MUNHWA
46424;Ручки гелевые Erich Krause G-Tone синие;https://online.metro-cc.ru/products/gelevaya-g-tone-erich-krause;599;ERICH KRAUSE
130840;Ручки шариковые Berlingo Ultra X2 синие;https://online.metro-cc.ru/products/shar-ultra-x2-sin6sht;299;BERLINGO
101595;Ручки шариковые BIC Orange Fine синие 0.3мм;https://online.metro-cc.ru/products/ruchki-sharikovye-bic-orange-fine-sinie-8sht;299;BIC
